OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,TotalUseTypeNumber,BuildingAge,Building(s)_Proportion,Parking_Proportion,LargestPropertyUse_Proportion,SecondLargestPropertyUse_Proportion,ThirdLargestPropertyUse_Proportion,GFAPerBuilding,GFAPerFloor,ElectricityUseCategory_PrimaryPropertyType,SteamUseCategory_PrimaryPropertyType,NaturalGasUseCategory_PrimaryPropertyType,ElectricityUseCategory_BuildingType,SteamUseCategory_BuildingType,NaturalGasUseCategory_BuildingType,ElectricityUseCategory_AgeGroup,SteamUseCategory_AgeGroup,NaturalGasUseCategory_AgeGroup,DistanceToCenter,SiteEnergyUse(kBtu)_log
21401,NonResidential,Small- and Mid-Sized Office,98109.0,7,LAKE UNION,Commercial,Missing,Missing,95.0,1,90,1.0,0.0,0.9065556234718827,0.0,0.0,26176.0,8725.333,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,1.9515976675846294,13.781859018136474
21413,NonResidential,Small- and Mid-Sized Office,98109.0,3,LAKE UNION,Commercial,Parking,Missing,1.0,2,90,1.0,0.0,0.9931372549019608,0.0,0.0,37740.0,37740.0,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,2.423642711538299,15.822692581507685
21418,Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,Other,Missing,Missing,,1,55,1.0,0.0,1.9171923076923076,0.0,0.0,26000.0,26000.0,Medium_elec,Medium_steam,Zero_gas,Medium_elec,Extreme_high_steam,Zero_gas,Medium_elec,Medium_steam,Zero_gas,2.4099546791383806,15.478959932219384
21424,NonResidential,Worship Facility,98109.0,7,MAGNOLIA / QUEEN ANNE,Recreation,Missing,Missing,66.0,1,7,1.0,0.0,1.0,0.0,0.0,23241.0,7747.0,Low_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,2.1212909864435088,13.513339356547904
21425,NonResidential,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,Other,Missing,Missing,,1,54,1.0,0.0,1.0,0.0,0.0,155795.0,155795.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,2.072498739677864,16.687549684257647
21432,Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,Other,Missing,Missing,,1,14,1.0,0.0,1.0,0.0,0.0,21018.0,21018.0,Medium_elec,Medium_steam,Zero_gas,Medium_elec,Extreme_high_steam,Zero_gas,High_elec,Medium_steam,Zero_gas,2.4099546791383806,14.381471032880885
21433,Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,Other,Missing,Missing,,1,18,1.0,0.0,0.9377067435234009,0.0,0.0,30533.0,30533.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Medium_gas,High_elec,Zero_steam,High_gas,2.4099546791383806,15.590973964705347
21435,NonResidential,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,Recreation,Missing,Missing,,1,55,1.0,0.0,1.4718436313326073,0.0,0.0,33971.0,16985.5,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,2.0462558713906454,16.68830908494569
21436,Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,Other,Missing,Missing,,1,24,1.0,0.0,0.812807881773399,0.0,0.0,40600.0,20300.0,Medium_elec,Medium_steam,Medium_gas,Medium_elec,Extreme_high_steam,Medium_gas,High_elec,Low_steam,High_gas,2.2323701988133497,14.725993255815451
21438,NonResidential,Small- and Mid-Sized Office,98109.0,7,LAKE UNION,Commercial,Parking,Missing,84.0,2,17,1.0,0.0,1.0,0.5152741994847257,0.0,38038.0,9509.5,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,High_elec,Zero_steam,Zero_gas,1.6730449317894702,14.510560302501029
