OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,TotalUseTypeNumber,BuildingAge,LargestPropertyUseTypeGFA_log,PropertyGFABuilding(s)_log,PropertyGFATotal_log,ThirdLargestPropertyUseTypeGFA_log,SecondLargestPropertyUseTypeGFA_log,Building(s)_Proportion,Parking_Proportion,LargestPropertyUse_Proportion,SecondLargestPropertyUse_Proportion,ThirdLargestPropertyUse_Proportion,GFAPerBuilding,GFAPerFloor,ElectricityUseCategory_PrimaryPropertyType,SteamUseCategory_PrimaryPropertyType,NaturalGasUseCategory_PrimaryPropertyType,ElectricityUseCategory_BuildingType,SteamUseCategory_BuildingType,NaturalGasUseCategory_BuildingType,ElectricityUseCategory_AgeGroup,SteamUseCategory_AgeGroup,NaturalGasUseCategory_AgeGroup,DistanceToCenter,TotalGHGEmissions_log
650,NonResidential,Small- and Mid-Sized Office,98105.0,4,NORTHEAST,Commercial,Parking,Other,2.0,3,15,10.883353842047292,10.917340471995036,11.426353991208984,8.22282213081366,10.454552601161618,0.6010838985453515,0.39891610145464856,0.580997971779382,0.37839399821167646,0.040608030008941615,91706.0,15284.333,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,High_elec,Zero_steam,Zero_gas,6.271456124153833,4.1067670822206574
651,NonResidential,Medical Office,98109.0,7,LAKE UNION,Commercial,Parking,Other,6.0,3,8,11.397873696006858,11.398546628447408,11.7682961001544,8.633374945705647,10.536167911328556,0.6909050064682051,0.3090949935317949,0.690440225263957,0.2916656983724911,0.043495774364218046,129093.0,25818.6,High_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,1.9784190775520638,6.171387395967629
652,NonResidential,Large Office,98106.0,1,DELRIDGE,Commercial,Parking,Missing,41.0,2,25,11.687584405428838,11.71084146063754,11.835784026020109,0.0,9.69412362463029,0.8825467394609937,0.11745326053900627,0.8622579757577513,0.11745326053900627,0.0,138106.0,27621.2,High_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,High_elec,Zero_steam,Zero_gas,4.8946481692731565,4.084799149378569
654,NonResidential,Retail Store,98108.0,2,GREATER DUWAMISH,Retail,Missing,Missing,66.0,1,43,10.943357821180475,10.943287118573286,10.943287118573286,0.0,0.0,1.0,0.0,1.0000707063565015,0.0,0.0,56572.0,56572.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,4.446341802519372,4.223763342972998
656,NonResidential,Medical Office,98104.0,3,EAST,Commercial,Missing,Missing,53.0,1,12,12.206997217981309,12.328215054186225,12.328215054186225,0.0,0.0,1.0,0.0,0.8858404651697923,0.0,0.0,225982.0,0.0,High_elec,Medium_steam,Zero_gas,Medium_elec,Medium_steam,Zero_gas,High_elec,Medium_steam,Zero_gas,0.79170933397555,6.541203144372571
658,NonResidential,Large Office,98104.0,2,DOWNTOWN,Commercial,Commercial,Food Service,,3,16,12.62252055461108,12.652401347293337,12.652401347293337,8.40357646462927,8.463581421967588,1.0,0.0,0.9705611304525906,0.01516101781691583,0.014277851730493549,312512.0,28410.182,High_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,0.9766815491664139,5.227841252743712
659,NonResidential,Large Office,98101.0,7,DOWNTOWN,Commercial,Parking,Commercial,97.0,5,11,13.72649681393881,14.281076229025384,14.281076229025384,12.624490174366965,12.762222433822421,1.0,0.0,0.5743134908727024,0.2189622289715578,0.19078870547939186,1592914.0,37926.524,High_elec,Medium_steam,Medium_gas,Medium_elec,Medium_steam,Low_gas,High_elec,Medium_steam,High_gas,0.4455266060937928,6.178068587631244
660,NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,Commercial,Commercial,Retail,,3,90,10.856727188188485,11.489871758639005,11.489871758639005,9.18132342290569,9.392661928770137,1.0,0.0,0.5309148587801883,0.12278960294719607,0.09939623413835448,97720.0,16286.667,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,0.5900405541746553,2.905807566026004
661,NonResidential,Medical Office,98104.0,3,EAST,Commercial,Missing,Missing,46.0,1,31,12.19303299764737,12.282681772900064,12.953954193190171,0.0,0.0,0.5110567262244292,0.48894327377557084,0.4672345521806946,0.0,0.0,422503.0,42250.3,High_elec,Medium_steam,Zero_gas,Medium_elec,Medium_steam,Zero_gas,Medium_elec,Medium_steam,Zero_gas,0.8538316418896322,5.252796851246227
671,NonResidential,Medical Office,98122.0,3,CENTRAL,Commercial,Missing,Missing,68.0,1,29,11.641670420860791,11.456365695436427,11.456365695436427,0.0,0.0,1.0,0.0,1.2035873015873015,0.0,0.0,94500.0,13500.0,High_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,High_elec,Zero_steam,Zero_gas,1.5664533763152626,3.722797672317397
